,metric,mask_method,mask_ratio,mask_threshold,auroc_score,aupr_score,fpr95
70,DMD,gt_threshold,,0.35000000000000003,0.7290809449999999,0.7467598353105649,0.6209
71,DMD,gt_threshold,,0.4,0.676325775,0.7143792224599185,0.6989
72,DMD,gt_threshold,,0.45,0.634082605,0.689741728139086,0.7571
73,DMD,gt_threshold,,0.5,0.60014374,0.6694640352028451,0.8113
74,DMD,gt_threshold,,0.55,0.57256816,0.6539486755229745,0.8551
75,DMD,gt_threshold,,0.6000000000000001,0.55546401,0.649678581037143,0.8829215804790687
76,DMD,gt_threshold,,0.65,0.543300845,0.6460422234601557,0.8964923076923076
77,DMD,gt_threshold,,0.7000000000000001,0.5278810150000001,0.6180433177467097,0.9141097244219195
78,DMD,gt_threshold,,0.75,0.5202100700000002,0.6227842062132001,0.9256910153396639
79,DMD,gt_threshold,,0.8,0.51358416,0.6127651905518312,0.9339979381443299
80,DMD,gt_threshold,,0.8500000000000001,0.51046216,0.6159819978167023,0.9384896774193547
81,DMD,gt_threshold,,0.9,0.50795128,0.6205109508909056,0.9409982302685109
82,DMD,gt_threshold,,0.9500000000000001,0.5059208599999999,0.6010415794417574,0.9427355661236466
83,DMD,gt_threshold,,1.0,0.5,0.75,0.95
84,DMD,lt_threshold,,0.0,0.5,0.75,0.95
85,DMD,lt_threshold,,0.05,0.97312398,0.9661375543740918,0.0935
86,DMD,lt_threshold,,0.1,0.97541748,0.9680424167873067,0.084
87,DMD,lt_threshold,,0.15000000000000002,0.9696263849999999,0.9611953100016677,0.1082
88,DMD,lt_threshold,,0.2,0.968572175,0.9593705943872819,0.1049
89,DMD,lt_threshold,,0.25,0.9679912500000001,0.9580506153811623,0.1068
90,DMD,lt_threshold,,0.30000000000000004,0.968695535,0.9588889124854909,0.1033
91,DMD,lt_threshold,,0.35000000000000003,0.9705580550000001,0.9603423498580925,0.0981
92,DMD,lt_threshold,,0.4,0.9726884149999999,0.9631089746638435,0.0904
93,DMD,lt_threshold,,0.45,0.9735381000000001,0.9646550274928458,0.0878
94,DMD,lt_threshold,,0.5,0.9744757050000001,0.9655745644730577,0.0822
95,DMD,lt_threshold,,0.55,0.97494256,0.966374546828454,0.079
96,DMD,lt_threshold,,0.6000000000000001,0.9756670599999999,0.9672720293926578,0.0786
97,DMD,lt_threshold,,0.65,0.97615505,0.9677245527482943,0.0764
98,DMD,lt_threshold,,0.7000000000000001,0.9758882100000001,0.9674316355686734,0.0783
99,DMD,lt_threshold,,0.75,0.976420695,0.9678451615948047,0.0769
100,DMD,lt_threshold,,0.8,0.9764558999999999,0.9680899678245354,0.076
101,DMD,lt_threshold,,0.8500000000000001,0.976267195,0.9679424408766217,0.0751
102,DMD,lt_threshold,,0.9,0.9762907949999999,0.9680123430622334,0.0752
103,DMD,lt_threshold,,0.9500000000000001,0.976572415,0.9684281685866685,0.075
104,DMD,lt_threshold,,1.0,0.9762213999999999,0.9679351198166026,0.0756
